,location,total_sqft,bath,price,bhk
62,Whitefield,5700.0,5.0,650.0,4
63,Varthur,1160.0,2.0,44.0,2
64,Bommanahalli,3000.0,8.0,140.0,8
65,Doddathoguru,1100.0,2.0,62.0,2
66,Gunjur,1140.0,2.0,43.0,2
67,Marathahalli,1220.0,2.0,57.0,2
68,Devarachikkanahalli,1350.0,7.0,85.0,8
69,Kanakpura Road,1005.0,2.0,36.68,2
70,other,500.0,3.0,100.0,3
71,Begur Road,1358.0,2.0,80.58,2
72,Hegde Nagar,1569.0,3.0,101.0,3
73,Haralur Road,1240.0,2.0,70.0,2
74,Hennur Road,2089.0,3.0,140.0,3
75,Kothannur,1206.0,2.0,48.23,2
76,Kalena Agrahara,1150.0,2.0,40.0,2
77,other,2511.0,3.0,205.0,3
78,Kaval Byrasandra,460.0,1.0,22.0,2
79,ISRO Layout,4400.0,6.0,250.0,6
80,other,1660.0,2.0,105.0,3
81,Hennur Road,3203.5,2.0,224.5,4
82,Yelahanka,1326.0,2.0,78.0,2
83,Garudachar Palya,1325.0,2.0,60.8,3
84,EPIP Zone,1499.0,5.0,102.0,3
85,Hegde Nagar,3000.0,7.0,210.0,6
86,Kanakpura Road,1665.0,3.0,88.0,3
87,Dasanapura,708.0,2.0,37.0,2
88,Kasavanhalli,1060.0,2.0,58.06,2
89,Rajaji Nagar,710.0,6.0,160.0,6
90,Sanjay nagar,1000.0,2.0,70.0,2
91,Electronic City,1000.0,2.0,28.88,2
92,other,1450.0,2.0,70.0,3
93,ISRO Layout,1200.0,4.0,155.0,4
94,Thanisandra,1296.0,2.0,80.0,2
95,Domlur,1540.0,3.0,90.0,3
96,Kengeri,2894.0,4.0,245.0,4
97,Sarjapura - Attibele Road,1330.0,2.0,48.0,3
98,other,1200.0,2.0,65.0,2
99,other,1200.0,3.0,90.0,3
100,Yeshwanthpur,2502.0,3.0,138.0,3
101,Chandapura,650.0,1.0,17.0,2
102,Kothanur,2400.0,2.0,150.0,3
103,other,1007.0,2.0,43.0,2
104,other,1200.0,2.0,50.0,2
105,other,966.0,2.0,49.9,2
106,Nagarbhavi,1630.0,2.0,98.0,3
107,Rajaji Nagar,1640.0,3.0,229.0,3
108,other,782.0,2.0,55.68,2
109,Devanahalli,1260.0,2.0,66.78,2
110,other,1800.0,3.0,120.0,3
111,other,1413.0,2.0,75.0,3
112,Whitefield,1116.0,2.0,51.91,2
113,Electronic City,1530.0,2.0,45.9,3
114,Ramamurthy Nagar,3700.0,4.0,225.0,4
115,Sarjapur  Road,2497.0,3.0,140.0,3
116,Kengeri,1540.0,2.0,64.0,3
117,Thanisandra,1436.0,3.0,74.75,3
118,Malleshwaram,1100.0,2.0,75.0,2
119,Hennur Road,276.0,3.0,23.0,2
120,Thanisandra,1427.0,3.0,120.0,3
121,Akshaya Nagar,2061.0,3.0,200.0,3
122,Hebbal,5611.5,4.0,477.0,4
123,Shampura,2650.0,4.0,150.0,4
124,Devanahalli,1282.0,2.0,68.52,3
125,Kadugodi,1050.0,2.0,34.0,2
126,LB Shastri Nagar,1600.0,3.0,65.0,3
127,other,945.0,2.0,54.0,2
128,Hormavu,1500.0,2.0,78.0,2
129,Vishwapriya Layout,950.0,7.0,115.0,7
130,other,1870.0,3.0,110.0,3
131,Sarjapur,1600.0,3.0,75.0,3
132,Electronic City,880.0,1.0,16.5,2
133,other,1200.0,4.0,210.0,4
134,Kudlu Gate,1535.0,3.0,83.0,3
135,Kanakpura Road,950.0,2.0,57.0,2
136,Devanahalli,1360.0,2.0,65.0,2
137,8th Phase JP Nagar,1073.5,2.0,54.005,2
138,Bommasandra Industrial Area,1280.0,3.0,50.4,3
139,other,1260.0,2.0,85.05,3
140,Hennur Road,5000.0,8.0,250.0,8
141,Yelahanka,3050.0,5.0,213.0,5
142,Kasavanhalli,1563.05,3.0,105.0,3
143,ISRO Layout,1000.0,2.0,60.0,2
144,Anandapura,1167.0,2.0,43.76,2
145,Vishveshwarya Layout,4000.0,7.0,225.0,7
146,Kothanur,1828.0,3.0,110.0,3
147,Kengeri Satellite Town,890.0,2.0,35.0,2
148,other,1612.0,3.0,46.74,3
149,other,1034.0,5.0,185.0,6
150,Mysore Road,1710.0,4.0,91.31,3
151,Kannamangala,957.0,2.0,58.0,2
152,Devarachikkanahalli,1250.0,2.0,44.0,3
153,other,2795.0,4.0,235.0,3
154,Hulimavu,1125.0,2.0,50.0,2
155,Electronic City Phase II,1020.0,2.0,30.6,2
156,Kalena Agrahara,1200.0,2.0,50.0,2
157,Thanisandra,1735.0,3.0,135.0,3
158,Thanisandra,2050.0,3.0,145.0,3
159,Mahalakshmi Layout,3750.0,4.0,760.0,4
160,other,1350.0,2.0,48.0,3
161,Hosa Road,1063.0,2.0,32.0,2
162,other,1904.0,3.0,150.0,3
163,Whitefield,4200.0,4.0,420.0,4
164,other,2000.0,3.0,175.0,3
165,Sarjapur,1242.5,2.0,43.49,2
166,other,1425.0,2.0,75.0,3
167,Electronic City,1500.0,2.0,64.5,3
168,Electronic City,1060.0,2.0,60.0,2
169,other,1470.0,2.0,70.0,3
170,other,1300.0,6.0,99.0,6
171,Attibele,450.0,1.0,11.0,1
172,Electronic City,1152.0,2.0,64.5,2
173,Electronic City,1350.0,2.0,56.0,3
174,CV Raman Nagar,1550.0,3.0,65.0,3
175,other,1500.0,3.0,100.0,3
176,Kumaraswami Layout,600.0,3.0,85.0,5
177,Nagavara,400.0,1.0,14.0,1
178,Malleshwaram,705.0,1.0,67.0,1
179,Electronic City,770.0,1.0,36.0,2
180,Hulimavu,1242.0,2.0,51.0,2
181,Hebbal Kempapura,1700.0,3.0,155.0,3
182,Thanisandra,2144.0,3.0,145.0,3
183,Vijayanagar,1704.0,3.0,110.0,3
184,Electronic City,1070.0,2.0,52.0,2
185,other,1846.0,3.0,300.0,3
186,other,1340.0,2.0,55.7,2
187,Electronic City,1025.0,2.0,46.0,2
188,KR Puram,1277.5,2.0,56.8,2
189,Marathahalli,1200.0,2.0,52.0,2
190,Kanakpura Road,2250.0,4.0,110.0,4
191,Pattandur Agrahara,1550.0,2.0,80.0,3
192,Bellandur,1200.0,5.0,325.0,4
193,other,1800.0,7.0,250.0,7
194,Marathahalli,1200.0,2.0,60.0,2
195,Yelahanka,1327.0,2.0,98.0,2
196,Kothanur,1186.0,2.0,58.0,2
197,other,1783.0,3.0,115.0,3
198,HSR Layout,1400.0,3.0,56.0,3
199,Nagasandra,980.0,2.0,48.0,2
200,EPIP Zone,1285.0,2.0,82.0,2
201,other,912.0,2.0,70.0,3
202,Whitefield,1225.0,2.0,47.6,2
203,Whitefield,1075.0,2.0,53.0,2
204,Kadugodi,1260.0,2.0,54.0,3
205,Yelahanka,1282.0,2.0,48.7,3
206,Kogilu,1909.0,3.0,88.0,3
207,Panathur,1359.0,2.0,87.0,2
208,other,1207.0,2.0,43.5,2
209,Padmanabhanagar,1736.0,6.0,190.0,4
210,1st Block Jayanagar,2850.0,4.0,428.0,4
211,Kammasandra,1595.0,3.0,65.0,3
212,other,1798.0,3.0,89.0,3
213,Electronics City Phase 1,1475.0,3.0,78.29,3
214,other,1580.0,3.0,100.0,3
215,Dasarahalli,1295.0,2.0,65.0,2
216,Magadi Road,3600.0,6.0,141.0,6
217,Electronic City,589.0,1.0,27.0,1
218,other,1415.0,3.0,78.0,3
219,Sarjapur  Road,1787.0,3.0,98.29,3
220,Sarjapur  Road,1787.0,3.0,125.0,3
221,Koramangala,1475.0,2.0,90.0,3
222,other,2000.0,4.0,75.5,4
223,Sarjapur  Road,984.0,2.0,44.28,2
224,Devanahalli,1630.0,2.0,74.82,3
225,other,2405.0,4.0,260.0,3
226,7th Phase JP Nagar,1080.0,2.0,72.0,2
227,other,1500.0,2.0,115.0,2
228,Hebbal,1900.0,3.0,119.0,3
229,Dommasandra,805.0,2.0,22.14,2
230,Budigere,1153.0,2.0,56.4,2
231,other,1148.0,2.0,60.0,2
232,other,1110.0,2.0,55.0,2
233,Electronic City,1100.0,2.0,42.0,2
234,Kalyan nagar,1290.0,2.0,110.0,2
235,other,1500.0,2.0,65.0,3
236,other,1080.0,2.0,39.0,2
237,Vijayanagar,1933.0,3.0,129.0,3
238,Ramamurthy Nagar,3500.0,5.0,150.0,5
239,other,1060.0,2.0,60.0,2
240,Chandapura,645.0,1.0,16.45,1
241,other,2600.0,8.0,180.0,8
242,Chandapura,645.0,1.0,16.45,1
243,other,1644.0,3.0,84.0,3
244,other,1285.0,2.0,72.5,2
245,Electronic City,1200.0,3.0,90.0,3
246,Electronic City,910.0,2.0,40.0,2
247,Kothanur,1577.0,3.0,70.0,3
248,other,4050.0,3.0,280.0,3
249,OMBR Layout,2420.0,3.0,185.0,3
250,Chandapura,800.0,1.0,20.0,2
251,other,1060.0,2.0,55.0,2
252,7th Phase JP Nagar,1270.0,2.0,93.0,2
253,other,900.0,2.0,22.5,2
254,other,1280.0,2.0,69.0,2
255,Horamavu Agara,1200.0,2.0,95.0,4
256,Sarjapur  Road,1025.0,2.0,36.0,2
257,Electronic City,1108.0,2.0,63.0,2
258,other,1200.0,5.0,170.0,5
259,other,3045.0,3.0,170.0,3
260,Ambedkar Nagar,2900.0,3.0,300.0,4
261,Vijayanagar,1500.0,3.0,75.5,3
262,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2
263,Budigere,1162.0,2.0,59.9,2
264,Sarjapur  Road,1035.0,2.0,49.2,2
265,Attibele,1600.0,4.0,52.8,4
266,other,1464.0,3.0,46.0,3
267,Hennur Road,1866.0,2.0,61.58,3
268,other,700.0,1.0,26.0,2
269,Kalena Agrahara,1804.0,3.0,120.0,3
270,Sarjapur,913.0,2.0,32.0,2
271,Talaghattapura,1868.0,3.0,131.0,3
272,Kengeri Satellite Town,883.0,2.0,45.0,2
273,other,900.0,2.0,110.0,2
274,Kogilu,1664.0,2.0,73.95,3
275,Hegde Nagar,2026.0,3.0,132.0,3
276,Balagere,1210.0,2.0,80.9,2
277,other,4111.0,4.0,250.0,4
278,Kadugodi,1762.0,3.0,91.45,3
279,Jigani,1252.0,3.0,55.0,3
280,Gollarapalya Hosahalli,861.0,2.0,34.5,2
281,7th Phase JP Nagar,1420.0,2.0,100.0,3
282,other,1450.0,6.0,250.0,6
283,Electronics City Phase 1,1490.0,3.0,78.8,3
284,Bisuvanahalli,1075.0,2.0,46.0,3
285,Old Madras Road,1425.0,2.0,94.0,3
286,Kalena Agrahara,1200.0,2.0,40.0,2
287,Kaggadasapura,1280.0,2.0,56.0,3
288,other,1084.0,2.0,50.0,2
289,Chandapura,1015.0,2.0,25.88,2
290,Kanakpura Road,1017.0,2.0,51.25,2
291,Haralur Road,1027.0,2.0,44.0,2
292,Electronic City Phase II,1069.0,2.0,45.0,2
293,Hebbal,1349.0,2.0,98.2,2
294,9th Phase JP Nagar,1005.0,2.0,50.0,2
295,Jakkur,1417.0,2.0,75.0,2
296,TC Palaya,1475.0,3.0,98.0,3
297,other,950.0,2.0,47.0,2
298,other,2000.0,4.0,120.0,4
299,Giri Nagar,880.0,3.0,140.0,3
300,Sarjapur  Road,1863.0,3.0,104.0,4
301,Singasandra,1010.0,2.0,29.5,2
302,Kalena Agrahara,1425.0,2.0,70.0,3
303,Vijayanagar,1450.0,3.0,100.0,3
304,Kothanur,1847.0,3.0,105.0,3
305,AECS Layout,1100.0,2.0,45.0,2
306,Kanakpura Road,525.0,1.0,26.0,1
307,Mallasandra,1665.0,3.0,95.0,3
308,Begur,1664.0,4.0,65.0,4
309,JP Nagar,1850.0,3.0,150.0,3
310,Panathur,1438.0,2.0,100.0,2
311,other,1560.0,3.0,115.0,3
312,Yelahanka,1350.0,2.0,55.55,2
313,Kanakpura Road,1550.0,3.0,67.0,3
314,Malleshpalya,1140.0,2.0,46.5,2
315,other,1200.0,5.0,180.0,5
316,other,850.0,2.0,27.0,2
317,Whitefield,1280.0,2.0,75.0,2
318,Munnekollal,1170.0,2.0,52.0,2
319,other,1113.0,2.0,51.0,2
320,Hennur Road,1385.0,2.0,83.09,2
321,Electronic City,1128.0,2.0,65.0,2
322,Marathahalli,1200.0,2.0,128.0,2
323,other,1200.0,4.0,165.0,4
324,Rajaji Nagar,2390.0,3.0,415.0,3
325,Giri Nagar,2400.0,4.0,400.0,4
326,Haralur Road,1464.0,3.0,56.0,3
327,other,1200.0,2.0,55.0,2
328,Kaval Byrasandra,1200.0,2.0,52.0,2
329,Kaggalipura,1150.0,2.0,55.0,3
330,other,1645.0,3.0,95.0,3
331,Sarjapur  Road,1000.0,2.0,67.0,2
332,Haralur Road,2650.0,4.0,198.0,4
333,6th Phase JP Nagar,1192.0,2.0,74.0,2
334,Ulsoor,2135.0,3.0,215.0,3
335,Whitefield,1173.0,2.0,58.0,2
336,Uttarahalli,1020.0,2.0,45.0,2
337,Thigalarapalya,3122.0,6.0,230.0,4
338,Somasundara Palya,1600.0,3.0,64.0,3
339,other,1200.0,2.0,79.0,2
340,other,1230.0,2.0,48.0,2
341,Devarachikkanahalli,1250.0,2.0,40.0,2
342,Kalena Agrahara,1325.0,2.0,76.0,2
343,7th Phase JP Nagar,1850.0,3.0,150.0,3
344,Kanakpura Road,525.0,2.0,21.53,1
345,Basaveshwara Nagar,1200.0,2.0,65.0,2
346,other,1350.0,2.0,140.0,3
347,Bommasandra,1260.0,3.0,49.36,3
348,other,1800.0,3.0,150.0,3
349,Ardendale,1100.0,2.0,43.25,2
350,Harlur,1508.0,2.0,77.0,2
351,other,1592.0,3.0,75.0,3
352,Akshaya Nagar,1388.0,2.0,57.0,2
353,Electronic City Phase II,630.0,1.0,28.35,1
354,other,2000.0,3.0,365.0,3
355,other,1762.0,3.0,125.0,3
356,other,950.0,2.0,50.0,2
357,Kodihalli,3252.0,5.0,335.0,4
358,Magadi Road,1116.0,2.0,50.0,2
359,Narayanapura,1308.0,2.0,89.04,2
360,other,1200.0,3.0,90.0,3
361,other,1500.0,4.0,230.0,4
362,Bannerghatta Road,500.0,1.0,18.5,1
363,Hennur,1075.0,2.0,52.0,2
364,Chandapura,530.0,1.0,11.66,1
365,Bellandur,1205.0,2.0,66.0,2
366,5th Phase JP Nagar,1075.0,2.0,60.0,2
367,KR Puram,930.0,2.0,39.0,2
368,Balagere,1380.0,2.0,60.0,2
369,Hebbal,2483.0,5.0,212.0,4
370,Kodigehaali,1166.0,2.0,55.0,2
371,Bannerghatta Road,1050.0,2.0,65.0,2
372,other,2023.71,3.0,275.0,3
373,Begur Road,1200.0,2.0,46.8,2
374,Lakshminarayana Pura,1600.0,2.0,108.0,3
375,Billekahalli,1935.0,3.0,110.0,3
376,8th Phase JP Nagar,451.0,1.0,29.9,1
377,Electronic City,1800.0,3.0,95.0,3
378,Jalahalli,1400.0,3.0,77.0,3
379,Hegde Nagar,1801.0,3.0,115.0,3
380,Mahadevpura,1451.0,2.0,90.0,2
381,Anekal,1200.0,1.0,36.0,2
382,Begur Road,1160.0,2.0,44.0,2
383,Kengeri,1000.0,2.0,25.0,2
384,Kanakpura Road,950.0,2.0,40.0,2
385,other,1629.0,3.0,79.0,3
386,Vijayanagar,1580.0,2.0,134.0,3
387,Vijayanagar,1826.0,3.0,121.0,3
388,7th Phase JP Nagar,1245.0,2.0,94.0,2
389,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2
390,Sompura,825.0,2.0,33.0,2
391,Yeshwanthpur,1693.0,3.0,108.0,3
392,Electronics City Phase 1,1113.27,2.0,53.0,2
393,other,1460.0,2.0,58.0,2
394,Doddathoguru,1050.0,2.0,32.0,2
395,Dodda Nekkundi,1260.0,2.0,55.0,2
396,other,700.0,3.0,120.0,6
397,Hosur Road,1656.0,2.0,120.0,2
398,Chandapura,1208.0,3.0,45.0,3
399,Whitefield,1910.0,3.0,161.0,3
400,Whitefield,3252.0,4.0,230.0,4
401,Battarahalli,1200.0,2.0,65.0,2
402,other,1200.0,4.0,175.0,4
403,7th Phase JP Nagar,1175.0,2.0,82.0,2
404,other,1000.0,2.0,165.0,2
405,Bannerghatta Road,1200.0,2.0,125.0,4
406,Rajaji Nagar,2390.0,3.0,410.0,3
407,Rajaji Nagar,12000.0,6.0,2200.0,7
408,Sultan Palaya,550.0,1.0,62.0,2
409,other,1185.0,2.0,38.0,2
410,Kengeri,750.0,2.0,38.0,2
411,Mahalakshmi Layout,1200.0,7.0,250.0,6
412,Kanakpura Road,1550.0,3.0,64.5,3
413,other,1760.0,3.0,88.0,3
414,Billekahalli,1125.0,2.0,62.0,2
415,Nagarbhavi,1350.0,3.0,150.0,3
416,Anandapura,1000.0,2.0,55.0,2
417,Bommasandra Industrial Area,1090.0,2.0,31.48,2
418,TC Palaya,1200.0,2.0,60.0,2
419,Budigere,1991.0,4.0,103.0,3
420,Bommasandra,1060.0,2.0,26.5,2
421,Ambalipura,1105.0,2.0,75.0,2
422,Hoodi,985.0,2.0,67.0,2
423,Chandapura,1533.0,5.0,85.0,6
424,Balagere,1590.0,3.0,79.0,3
425,CV Raman Nagar,1120.0,2.0,55.0,2
426,other,1069.0,2.0,55.0,2
427,Marathahalli,1933.0,3.0,140.0,3
428,Hosur Road,1194.0,2.0,69.0,2
429,Brookefield,1150.0,2.0,69.0,2
430,Yelenahalli,1240.0,2.0,47.12,2
431,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2
432,7th Phase JP Nagar,1200.0,8.0,250.0,8
433,other,2150.0,4.0,240.0,3
434,other,1450.0,3.0,55.0,3
435,other,1630.0,3.0,68.29,3
436,Dasanapura,708.0,1.0,40.0,2
437,Kasavanhalli,1000.0,4.0,110.0,3
438,Whitefield,11890.0,4.0,700.0,4
439,Bellandur,1250.0,2.0,76.0,2
440,7th Phase JP Nagar,1400.0,2.0,95.0,3
441,Sarjapur  Road,1670.0,2.0,57.0,3
442,Ardendale,1750.0,3.0,100.0,3
443,Vittasandra,1404.0,2.0,71.0,2
444,Hoodi,1715.0,2.0,95.0,3
445,Electronic City,630.0,1.0,34.65,1
446,Harlur,1752.12,3.0,135.0,3
447,Hulimavu,1650.0,3.0,78.0,3
448,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2
449,Giri Nagar,1800.0,3.0,252.0,3
450,Sarjapur  Road,1346.0,2.0,74.03,2
451,other,1200.0,4.0,200.0,4
452,Hormavu,1150.0,2.0,55.0,2
453,other,3309.0,4.0,325.0,4
454,Chandapura,1190.0,2.0,30.35,3
455,AECS Layout,1620.0,3.0,98.0,3
456,Marathahalli,950.0,2.0,46.96,2
457,Harlur,2450.0,3.0,120.0,3
458,Electronic City Phase II,1220.0,2.0,35.23,3
459,other,850.0,2.0,30.0,2
460,Padmanabhanagar,1020.0,2.0,63.0,2
461,Chikkalasandra,1100.0,2.0,50.0,2
462,other,1150.0,2.0,126.0,2
463,Hebbal,1760.0,2.0,130.0,3
464,Ambalipura,1800.0,3.0,110.0,3
465,Akshaya Nagar,1070.0,2.0,54.0,2
466,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
467,Vidyaranyapura,1440.0,2.0,95.0,2
468,Amruthahalli,900.0,2.0,40.0,2
469,other,1200.0,4.0,230.0,4
470,Whitefield,1130.0,2.0,42.16,2
471,Koramangala,1320.0,2.0,165.0,2
472,Kodigehalli,1270.0,2.0,98.0,2
473,other,1200.0,2.0,62.0,2
474,other,4800.0,4.0,235.0,4
475,other,1200.0,2.0,74.0,2
476,Subramanyapura,929.0,2.0,50.17,2
477,other,1150.0,4.0,260.0,4
478,Basavangudi,1125.0,4.0,180.0,4
479,Kenchenahalli,500.0,3.0,65.0,5
480,other,1200.0,5.0,190.0,5
481,other,1464.0,3.0,56.0,3
482,7th Phase JP Nagar,3600.0,4.0,400.0,4
483,other,2000.0,4.0,99.0,4
484,Chikkalasandra,1208.0,2.0,49.0,2
485,Hebbal Kempapura,1130.0,2.0,60.0,2
486,other,1753.0,3.0,120.0,3
487,Old Madras Road,4500.0,7.0,337.0,5
488,Banjara Layout,600.0,3.0,58.0,3
489,Hoodi,1196.0,2.0,94.42,2
490,5th Phase JP Nagar,1150.0,3.0,52.5,2
491,Electronic City,1128.0,2.0,63.0,2
492,other,1000.0,2.0,53.0,2
493,Yelahanka,1035.0,2.0,45.0,2
494,Kereguddadahalli,950.0,2.0,32.0,2
495,Bisuvanahalli,1075.0,2.0,36.0,3
496,Whitefield,1040.0,2.0,48.5,2
497,other,720.0,2.0,45.0,2
498,Lingadheeranahalli,1511.0,3.0,95.0,3
499,other,1300.0,3.0,58.0,3
500,Hoodi,1545.0,3.0,68.75,3
501,Shampura,375.0,2.0,26.0,1
502,Vidyaranyapura,1062.0,2.0,38.0,2
503,other,1115.0,2.0,40.0,2
504,JP Nagar,1000.0,2.0,35.0,2
505,Kambipura,883.0,2.0,45.0,2
506,Sarjapur  Road,1195.0,2.0,70.0,2
507,other,1200.0,3.0,165.0,4
508,other,700.0,1.0,41.0,1
509,Vittasandra,1246.0,2.0,67.0,2
510,8th Phase JP Nagar,660.0,4.0,90.0,4
511,Banashankari Stage III,8500.0,4.0,145.0,4
512,other,1600.0,4.0,80.0,4
513,Haralur Road,2805.0,5.0,154.0,4
514,Begur Road,1584.0,3.0,65.0,3
515,Sector 7 HSR Layout,3000.0,5.0,275.0,4
516,Hosur Road,1175.0,2.0,48.0,3
517,other,1595.0,3.0,115.0,3
518,other,1353.0,2.0,110.0,2
519,Electronic City,1599.0,3.0,125.0,3
520,Whitefield,1150.0,2.0,70.0,2
521,Jakkur,5230.0,6.0,465.0,4
522,KR Puram,1155.0,2.0,42.74,2
523,other,1200.0,2.0,85.0,1
524,Electronic City Phase II,1000.0,2.0,25.0,2
525,Thanisandra,3000.0,4.0,120.0,4
526,Rajiv Nagar,1867.0,3.0,160.0,3
527,Ramagondanahalli,1251.0,2.0,47.0,2
528,other,1028.0,2.0,45.5,2
529,Arekere,1222.0,2.0,45.0,2
530,Bannerghatta Road,1170.0,2.0,66.0,3
531,Hebbal,2400.0,4.0,245.0,3
532,other,1385.0,2.0,48.48,3
533,HSR Layout,1372.0,2.0,68.0,2
534,Magadi Road,1282.0,2.0,49.0,3
535,Mico Layout,5000.0,9.0,210.0,9
536,other,3000.0,3.0,528.0,5
537,Kanakpura Road,1135.0,2.0,39.73,2
538,Whitefield,1768.0,3.0,101.0,3
539,other,1325.0,2.0,90.0,3
540,Electronic City,1599.0,3.0,99.0,3
541,Whitefield,1500.0,3.0,61.95,3
542,other,2610.0,3.0,499.0,3
543,Uttarahalli,1286.0,2.0,63.0,2
544,Kammanahalli,2845.0,5.0,140.0,5
545,other,1600.0,2.0,50.0,3
546,Hennur Road,1317.5,2.0,63.77,2
547,Hebbal,3450.0,5.0,260.0,3
548,Munnekollal,1102.0,2.0,53.67,2
549,Yelahanka,1350.0,2.0,54.0,2
550,Banashankari,1200.0,2.0,42.0,3
551,Hosa Road,1300.0,6.0,145.0,6
552,other,1800.0,1.0,80.0,2
553,Chikkabanavar,950.0,2.0,40.0,2
554,Kanakpura Road,525.0,1.0,27.25,1
555,Attibele,656.0,2.0,25.0,2
556,Marathahalli,1780.0,4.0,175.0,4
557,other,1056.0,2.0,80.0,2
558,Bannerghatta Road,595.0,1.0,33.32,1
559,other,1080.0,2.0,50.0,2
560,7th Phase JP Nagar,2225.0,3.0,160.0,3
561,Bommasandra,1126.0,2.0,28.15,2
562,Electronics City Phase 1,1490.0,3.0,84.0,3
563,HRBR Layout,2000.0,4.0,300.0,4
564,Sarjapur  Road,1550.0,3.0,100.0,3
565,Whitefield,1600.0,3.0,86.0,3
566,other,1160.0,2.0,55.0,2
567,Whitefield,4144.0,4.0,315.0,4
568,Sarjapur  Road,2100.0,3.0,125.0,3
569,Vittasandra,1404.0,2.0,69.3,2
570,Sarjapur  Road,2230.0,4.0,225.0,4
571,other,1544.0,3.0,120.0,3
572,Banashankari Stage III,1305.0,2.0,58.7,3
573,Marathahalli,1230.0,2.0,80.0,2
574,other,1200.0,2.0,65.0,2
575,Harlur,1460.0,3.0,73.0,3
576,Sarjapur  Road,1800.0,2.0,34.185,2
577,Gottigere,967.0,2.0,45.0,2
578,other,540.0,1.0,36.0,1
579,Hormavu,715.0,1.0,46.0,1
580,Whitefield,2500.0,3.0,313.0,3
581,other,1578.0,3.0,180.0,3
582,Mysore Road,1020.0,2.0,48.95,2
583,Jigani,1020.0,2.0,40.0,2
584,Koramangala,1253.0,2.0,102.0,2
585,other,1180.0,2.0,42.0,2
586,Nehru Nagar,961.0,2.0,38.0,2
587,Kanakapura,1419.0,3.0,75.0,3
588,Harlur,1709.0,3.0,150.0,3
589,other,1600.0,2.0,115.0,2
590,other,416.0,1.0,18.5,1
591,Sanjay nagar,1100.0,2.0,98.0,2
592,HSR Layout,1430.0,2.0,65.0,3
593,other,1260.0,2.0,45.0,2
594,other,1630.0,3.0,85.0,3
